Grid Size,16
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,4,2,8,8,0,144.0,80.0,0
0,1,3,3,8,8,0,112.0,112.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,2,8,8,0,176.0,80.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,0,5,2,8,8,0,176.0,80.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,1,4,2,8,8,0,144.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,2,8,8,0,208.0,80.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,0,6,2,8,8,0,208.0,80.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,5,2,8,8,0,176.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,2,8,8,0,240.0,80.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,0,7,2,8,8,0,240.0,80.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,6,2,8,8,0,208.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,2,8,8,0,272.0,80.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,0,8,2,8,8,0,272.0,80.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,7,2,8,8,0,240.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,2,8,8,0,304.0,80.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,0,9,2,8,8,0,304.0,80.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,8,2,8,8,0,272.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,2,8,8,0,336.0,80.0,0
0,1,10,3,8,8,0,336.0,112.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,0,10,2,8,8,0,336.0,80.0,0
0,1,9,3,8,8,0,304.0,112.0,0
